id@ id_Manga_Artist@ id_Publishing_House@ status@ End_year_of_publication@ Rating
1@ 3@ 47@ frozen@  @ 7.702536740410084
2@ 90@ 36@ finished@ 1925@ 9.795982632986354
3@ 16@ 64@ frozen@  @ 7.752863612796956
4@ 27@ 90@ frozen@  @ 6.299061687484687
5@ 83@ 83@ in process@  @ 3.352131241487725
6@ 45@ 42@ finished@ 1924@ 3.9090879066647775
7@ 48@ 50@ frozen@  @ 5.323570742716725
8@ 3@ 83@ in process@  @ 8.763041818608745
9@ 97@ 84@ frozen@  @ 9.620366487787095
10@ 29@ 67@ in process@  @ 4.567147846556176
11@ 31@ 38@ frozen@  @ 6.83299168657883
12@ 38@ 90@ frozen@  @ 6.650178015815449
13@ 91@ 41@ in process@  @ 3.7377860808303556
14@ 98@ 92@ frozen@  @ 4.479484324041591
15@ 69@ 47@ frozen@  @ 3.2070424130829176
16@ 49@ 60@ in process@  @ 1.2891880012738488
17@ 46@ 12@ finished@ 1945@ 1.2044424914250307
18@ 5@ 58@ finished@ 1934@ 9.524243485399348
19@ 60@ 87@ finished@ 1939@ 3.5800440540230882
20@ 68@ 35@ in process@  @ 0.1400691136278287
21@ 87@ 44@ in process@  @ 4.0998313306876835
22@ 71@ 61@ frozen@  @ 6.195103556737628
23@ 25@ 42@ finished@ 1922@ 0.8223647036903148
24@ 16@ 33@ finished@ 1958@ 8.094674579020078
25@ 42@ 40@ in process@  @ 2.4088983027958664
26@ 92@ 54@ frozen@  @ 0.10063770552833473
27@ 71@ 57@ finished@ 1990@ 6.431605192318267
28@ 44@ 67@ finished@ 1989@ 1.3140803023392034
29@ 86@ 89@ frozen@  @ 1.6919667726018484
30@ 19@ 61@ in process@  @ 4.110366900237144
31@ 55@ 75@ finished@ 1937@ 8.012896253668437
32@ 32@ 19@ frozen@  @ 3.5821426077803977
33@ 25@ 39@ frozen@  @ 4.910572263833727
34@ 64@ 32@ finished@ 1940@ 4.640261561283046
35@ 37@ 29@ in process@  @ 0.6885693840403895
36@ 31@ 89@ in process@  @ 9.867521818951626
37@ 85@ 80@ frozen@  @ 7.046414678236628
38@ 70@ 35@ frozen@  @ 8.190853690454569
39@ 53@ 6@ frozen@  @ 2.1541083365235347
40@ 5@ 26@ frozen@  @ 5.536541267293419
41@ 62@ 77@ finished@ 1934@ 2.5554854574267805
42@ 2@ 38@ frozen@  @ 8.979085943566885
43@ 76@ 84@ frozen@  @ 7.663406012292783
44@ 13@ 88@ finished@ 1952@ 8.22393263037102
45@ 5@ 35@ frozen@  @ 3.13276826701102
46@ 82@ 76@ finished@ 1978@ 9.671427508903033
47@ 76@ 96@ finished@ 1956@ 2.431129766391779
48@ 25@ 3@ in process@  @ 2.599200039202927
49@ 8@ 38@ finished@ 1984@ 2.598732291919734
50@ 30@ 74@ frozen@  @ 8.834091552392746
51@ 16@ 49@ in process@  @ 8.409099849223857
52@ 45@ 26@ frozen@  @ 8.755705998521893
53@ 98@ 11@ in process@  @ 3.702512008020067
54@ 50@ 62@ frozen@  @ 2.7355592642375326
55@ 65@ 89@ finished@ 1970@ 1.899205814691206
56@ 87@ 51@ finished@ 1908@ 9.688558117190453
57@ 9@ 31@ finished@ 1917@ 9.222253292490537
58@ 80@ 71@ finished@ 1974@ 8.46586933033241
59@ 75@ 72@ in process@  @ 5.3465848253088035
60@ 34@ 88@ frozen@  @ 1.493195893968009
61@ 97@ 8@ frozen@  @ 7.299090337697307
62@ 75@ 73@ frozen@  @ 8.361193151583524
63@ 48@ 38@ in process@  @ 4.181144484309542
64@ 94@ 60@ frozen@  @ 4.564664986031581
65@ 10@ 13@ frozen@  @ 3.7738241471835043
66@ 29@ 26@ frozen@  @ 0.5990845114324594
67@ 69@ 19@ frozen@  @ 7.578121953848674
68@ 41@ 8@ frozen@  @ 1.1486250041901014
69@ 99@ 58@ finished@ 1937@ 1.6514312647119889
70@ 57@ 6@ finished@ 1957@ 9.355143375207241
71@ 74@ 58@ frozen@  @ 8.978082921796224
72@ 87@ 74@ in process@  @ 1.933953297450901
73@ 28@ 13@ frozen@  @ 9.885515998731876
74@ 19@ 14@ finished@ 1932@ 2.12235721311575
75@ 24@ 23@ finished@ 1963@ 0.620979729278921
76@ 54@ 26@ finished@ 2003@ 4.609129278136777
77@ 20@ 7@ frozen@  @ 8.988675234493911
78@ 23@ 42@ frozen@  @ 5.398760420917076
79@ 50@ 100@ finished@ 1993@ 4.61403355111507
80@ 60@ 41@ frozen@  @ 8.31343940000001
81@ 7@ 56@ finished@ 1999@ 2.4931937463899767
82@ 64@ 7@ in process@  @ 3.569354555973747
83@ 31@ 4@ frozen@  @ 6.533545173594458
84@ 90@ 34@ finished@ 1997@ 1.7003979959863336
85@ 25@ 32@ in process@  @ 3.4984722047207373
86@ 96@ 16@ frozen@  @ 7.313618055196508
87@ 93@ 21@ finished@ 1947@ 6.099933327197639
88@ 57@ 36@ finished@ 1969@ 7.207257101675752
89@ 65@ 16@ frozen@  @ 0.913500587851136
90@ 48@ 59@ frozen@  @ 4.670015639483797
91@ 29@ 4@ finished@ 1938@ 0.6050546576368498
92@ 30@ 99@ finished@ 2003@ 5.73228623402089
93@ 8@ 22@ frozen@  @ 5.244829807760012
94@ 31@ 85@ frozen@  @ 1.7058351880849787
95@ 42@ 84@ in process@  @ 8.495356459077069
96@ 50@ 51@ frozen@  @ 2.438022729179661
97@ 76@ 86@ in process@  @ 4.390510195864215
98@ 31@ 53@ finished@ 1950@ 8.59668875751979
99@ 31@ 77@ in process@  @ 4.209111625783617
100@ 1@ 40@ in process@  @ 5.644171401271211
